id,region,prefecture,commune,canton,pharmacie_nom,pharmacie_type,pharmacie_secteur,ouverture,annee,id_service,keyword,geometry_name,geometry_type,geometry_coordinates0,geometry_coordinates1,pharma_id,statut,created_at,updated_at
40,Maritime,Golfe,"Golfe 7",Aflao-Sagbado,"Pharmacie du Centre de Santé Ning Hong","Pharmacie de centre de santé",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2022,,,geometry,Point,1.10857209,6.19198115,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_334f,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
41,Savanes,Cinkassé,"Cinkassé 2",Biankouri,"Pharmacie de l'USP Biankouri","Pharmacie de centre de santé",Autre,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",1980,,,geometry,Point,0.05254353,11.01674991,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3350,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
43,Maritime,Agoè-Nyivé,"Agoè-Nyivé 3",Vakpossito,"Pharmacie El-Shammah","Officine de pharmacie",Prive,"{Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2016,,,geometry,Point,1.15986451,6.20910601,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3357,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
49,Kara,Kozah,"Kozah 1","Commune De Kara","Pharmacie Lafia","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Samedi,Vendredi}",2008,,,geometry,Point,1.19466643,9.54747483,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3362,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
51,Kara,Kozah,"Kozah 1","Commune De Kara","Pharmacie Renaissance","Officine de pharmacie",Prive,"{Mardi,Lundi,Mercredi,Jeudi,Vendredi,Samedi}",2019,,,geometry,Point,1.19653919,9.53896031,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_336a,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
52,Plateaux,Haho,"Haho 1",Notsé,"Pharmacie Midjodji","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2022,,,geometry,Point,1.16535186,6.94866914,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_336b,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
56,Maritime,Agoè-Nyivé,"Agoè-Nyivé 3",Vakpossito,"Pharmacie Vita Flore","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2010,,,geometry,Point,1.16527816,6.22197698,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3373,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
57,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie Jahnap","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",2002,,,geometry,Point,1.19795583,6.17553441,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3374,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
61,Kara,Kozah,"Kozah 1","Commune De Kara","Pharmacie de la Kozah","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",1994,,,geometry,Point,1.18968817,9.5494563,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_337c,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
71,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie Groupe C","Officine de pharmacie",Prive,"{Jeudi,Mercredi,Mardi,Lundi}",2020,,,geometry,Point,1.19527122,6.18813091,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3389,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
76,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie du Point E","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2007,,,geometry,Point,1.19067962,6.1813131,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_338f,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
77,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie Eli-Beraca","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Nsp,,,geometry,Point,1.17160961,6.18051025,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3391,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
79,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie Mathilda","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2003,,,geometry,Point,1.2001264,6.18251624,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3393,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
84,Plateaux,Kloto,"Kloto 1",Agome-Kpalime,"Pharmacie de la Gare","Officine de pharmacie",Prive,"{Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Nsp,,,geometry,Point,0.63389278,6.90701455,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3398,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
87,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie Ossan","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Nsp,,,geometry,Point,1.18071409,6.20108854,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_339d,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
89,Kara,Kozah,"Kozah 1","Commune De Kara","Pharmacie Kara Centre","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2002,,,geometry,Point,1.1954583,9.55362113,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33a0,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
93,Centrale,Tchaoudjo,"Tchaoudjo 1","Sokodè (Komah)","Pharmacie Nouvelle","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",1999,,,geometry,Point,1.13613274,8.98675462,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33a6,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
94,Maritime,Golfe,"Golfe 7",Aflao-Sagbado,"Pharmacie Epiphania","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2009,,,geometry,Point,1.16349636,6.18057881,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33a7,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
99,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie Maina","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2012,,,geometry,Point,1.17748009,6.19199405,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33af,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
104,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie de la Victoire","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2015,,,geometry,Point,1.1716595,6.19261488,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33b8,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
105,Maritime,Golfe,"Golfe 7",Aflao-Sagbado,"Pharmacie Hosanna","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2011,,,geometry,Point,1.13791664,6.19401121,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33b9,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
107,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie de Djidjolé","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",1986,,,geometry,Point,1.19526271,6.18044928,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33bb,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
108,Maritime,Zio,"Zio 1",Abobo,"Pharmacie Ste Marie","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2021,,,geometry,Point,1.28654489,6.26728452,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33bc,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
109,Maritime,Golfe,"Golfe 7",Aflao-Sagbado,"Pharmacie Siloé","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Nsp,,,geometry,Point,1.1408377,6.2068447,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33bd,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
110,Kara,Kozah,"Kozah 1","Commune De Kara","Pharmacie de l'Espoir","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",1989,,,geometry,Point,1.18927502,9.54700512,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33be,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
114,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie Besda","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2009,,,geometry,Point,1.15414135,6.19559656,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33c5,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
115,Plateaux,Danyi,"Danyi 1",Danyi-Atigba,"Pharmacie Kékéli Annexe","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2021,,,geometry,Point,0.69182593,7.20124849,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33c7,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
117,Savanes,Tône,"Tône 1",Dapaong,"Pharmacie du CMS Source de Vie Divine","Pharmacie de centre de santé",Prive,{Dimanche},2016,,,geometry,Point,0.20700205,10.8721872,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33c9,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
118,Maritime,Golfe,"Golfe 7",Aflao-Sagbado,"Pharmacie Nelly's","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2021,,,geometry,Point,1.11213251,6.2142547,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33cb,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
120,Savanes,Cinkassé,"Cinkassé 1",Cinkassé,"Pharmacie Lafe Zaka","Officine de pharmacie",Prive,"{Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2020,,,geometry,Point,0.02135364,11.10965724,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33d0,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
126,Plateaux,Akébou,"Akébou 1",Kougnohou,"Pharmacie Bon Samaritain","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2007,,,geometry,Point,0.791105,7.65401757,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33d8,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
127,Savanes,Tandjoaré,"Tandjoaré 1",Bombouaka,"Pharmacie du PMI Bombouaka","Pharmacie de centre de santé",Autre,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",1940,,,geometry,Point,0.2067566,10.69921913,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33d9,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
128,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie des Écoles","Officine de pharmacie",Prive,"{Lundi,Mardi,Jeudi,Mercredi,Vendredi,Samedi}",2008,,,geometry,Point,1.15836443,6.19199272,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33da,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
130,Maritime,Agoè-Nyivé,"Agoè-Nyivé 3",Vakpossito,"Pharmacie des Roses","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Nsp,,,geometry,Point,1.16991059,6.22052073,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33e1,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
133,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie Solidarité","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Vendredi,Jeudi,Samedi}",Nsp,,,geometry,Point,1.18677863,6.196615,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33e4,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
134,Maritime,Agoè-Nyivé,"Agoè-Nyivé 6",Adétikopé,"Pharmacie Regina Pacis","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2020,,,geometry,Point,1.21706941,6.31924545,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33e5,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
136,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie Adidogomé","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",1997,,,geometry,Point,1.16630776,6.18506829,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33e8,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
138,Maritime,Agoè-Nyivé,"Agoè-Nyivé 4",Togblekope,"Pharmacie Ebema","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2015,,,geometry,Point,1.20218141,6.26685982,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33ea,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
139,Centrale,Tchaoudjo,"Tchaoudjo 1","Sokodè (Komah)","Pharmacie régionale d'approvisionnement CAMEG Sokodé","Pharmacie Régionale d'Approvisionnement",Public,"{Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",N/a,,,geometry,Point,1.13809987,8.98473964,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33eb,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
141,Savanes,Tône,"Tône 1",Dapaong,"Pharmacie régionale d'approvisionnement CAMEG Dapaong","Pharmacie Régionale d'Approvisionnement",Public,"{Vendredi,Mercredi,Mardi,Lundi,Jeudi,Samedi}",N/a,,,geometry,Point,0.20295926,10.86309346,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33ed,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
143,Plateaux,Ogou,"Ogou 1",Gnagna,"Pharmacie régionale d'approvisionnement CAMEG Atakpamé","Pharmacie Régionale d'Approvisionnement",Public,"{Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",N/a,,,geometry,Point,1.1264735,7.53166438,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33ef,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
144,Maritime,Zio,"Zio 1",Tsévié,"Pharmacie régionale d'approvisionnement CAMEG Tsevié","Pharmacie Régionale d'Approvisionnement",Public,"{Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",N/a,,,geometry,Point,1.22421016,6.43231666,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33f0,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
146,Plateaux,Kloto,"Kloto 1",Agome-Kpalime,"Pharmacie de l'ONG Aide Médicale et Charité","Pharmacie de centre de santé",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",2003,,,geometry,Point,0.64012045,6.91182544,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33fb,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
147,Centrale,Tchaoudjo,"Tchaoudjo 2",Lama-Tessi,"Pharmacie de la Clinique la Solidarite","Pharmacie de centre de santé",Prive,"{Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,,,geometry,Point,1.07867405,8.83549674,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_33fe,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
149,Savanes,Tône,"Tône 1",Dapaong,"Pharmacie de l'USP Tanikagou","Pharmacie de centre de santé",Public,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",2014,,,geometry,Point,0.1915221,10.96411642,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3403,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
150,Maritime,Zio,"Zio 1",Abobo,"Pharmacie de l'USP Abobo","Pharmacie de centre de santé",Public,"{Jeudi,Lundi,Mardi,Mercredi,Samedi,Vendredi}",2020,,,geometry,Point,1.37505964,6.24150107,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3404,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
151,Maritime,Agoè-Nyivé,"Agoè-Nyivé 6",Adétikopé,"Pharmacie du Cabinet d'assistance médicale Fidèle","Pharmacie de centre de santé",Prive,"{Jeudi,Lundi,Mardi,Mercredi,Samedi,Vendredi}",Nsp,,,geometry,Point,1.24312455,6.31480937,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3405,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
152,Maritime,Agoè-Nyivé,"Agoè-Nyivé 4",Togblekope,"Pharmacie du CMS Directaid","Pharmacie de centre de santé",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",2000,,,geometry,Point,1.20626671,6.25479662,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3407,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
153,Maritime,Agoè-Nyivé,"Agoè-Nyivé 4",Togblekope,"Pharmacie du Cabinet médical Al Amana","Pharmacie de centre de santé",Prive,"{Dimanche,Samedi,Mercredi,Mardi,Lundi}",2022,,,geometry,Point,1.22639543,6.24814568,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3408,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
154,Plateaux,Anié,"Anié 2",Atchinédji,"Pharmacie de l'USP Foukote-Vossa","Pharmacie de centre de santé",Public,"{Lundi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1995,,,geometry,Point,1.36205518,7.67606422,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_340a,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
155,Centrale,Tchaoudjo,"Tchaoudjo 1",Kparataou,"Pharmacie du CMS de Koloware","Pharmacie de centre de santé",Prive,"{Lundi,Mardi,Mercredi,Vendredi,Jeudi,Samedi}",Nsp,,,geometry,Point,1.28887883,8.95479503,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3410,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
156,Maritime,Lacs,"Lacs 3",Agbodrafo,"Pharmacie du CMS Agbodrafo","Pharmacie de centre de santé",Public,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Nsp,,,geometry,Point,1.48097043,6.21170223,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3415,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
157,Plateaux,Ogou,"Ogou 3",Gléi,"Pharmacie du Centre Hospitalier Adventis de Glei","Pharmacie de centre de santé",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",1983,,,geometry,Point,1.16979621,7.32867196,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3419,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
158,Maritime,Avé,"Avé 1",Zolo,"Pharmacie du CMS Lolo Vava","Pharmacie de centre de santé",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2021,,,geometry,Point,0.9473514,6.36150713,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_341b,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
159,Maritime,Lacs,"Lacs 3",Gbodjomé,"Pharmacie de l'USP Togokomé","Pharmacie de centre de santé",Public,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",2016,,,geometry,Point,1.42170366,6.21309331,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_341e,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
161,Kara,Kozah,"Kozah 1","Commune De Kara","Pharmacie de la Clinique ATBEF","Pharmacie de centre de santé",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Nsp,,,geometry,Point,1.21503856,9.54496586,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3423,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
162,Savanes,Cinkassé,"Cinkassé 1",Cinkassé,"Pharmacie du CMS la Grace","Pharmacie de centre de santé",Prive,"{Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2018,,,geometry,Point,0.02128814,11.09598438,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3426,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
163,Maritime,Agoè-Nyivé,"Agoè-Nyivé 5",Sanguera,"Pharmacie du CMS Grace Plus","Pharmacie de centre de santé",Prive,"{Lundi,Mercredi,Mardi,Jeudi,Vendredi,Samedi}",2019,,,geometry,Point,1.13416367,6.23468917,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3427,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
164,Plateaux,Agou,"Agou 1",Gadja,"Pharmacie de l'USP Gadzagan","Pharmacie de centre de santé",Public,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2002,,,geometry,Point,0.76919933,6.82460787,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3428,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
166,Kara,Kozah,"Kozah 1","Commune De Kara","Pharmacie du Cabinet médical Maman","Pharmacie de centre de santé",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2018,,,geometry,Point,1.19537332,9.56091441,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3431,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
